Slide;OrigSlide;Tumor;roi_type
001.tiff;WF22-001 Melanoma UMCUtrecht - 2022-06-10 17.tiff;hMel;hotspot
002.tiff;WF22-002 Melanoma UMCUtrecht - 2022-06-10 17.tiff;hMel;hotspot
003.tiff;WF22-004 Melanoma UMCUtrecht - 2022-06-10 16.tiff;hMel;hotspot
004.tiff;WF22-006 Melanoma UMCUtrecht - 2022-06-10 16.tiff;hMel;hotspot
005.tiff;WF22-007 Melanoma UMCUtrecht - 2022-06-10 17.tiff;hMel;hotspot
006.tiff;WF22-009 Melanoma UMCUtrecht - 2022-06-10 17.tiff;hMel;hotspot
007.tiff;WF22-011 Melanoma UMCUtrecht - 2022-06-10 17.tiff;hMel;hotspot
008.tiff;WF22-012 Melanoma UMCUtrecht - 2022-06-10 17.tiff;hMel;hotspot
009.tiff;WF22-014 Melanoma UMCUtrecht - 2022-06-10 17.tiff;hMel;hotspot
010.tiff;WF22-015 Melanoma UMCUtrecht - 2022-06-10 17.tiff;hMel;hotspot
011.tiff;N1009_19_I.tiff;hAC;hotspot
012.tiff;N1111_19.tiff;hAC;hotspot
013.tiff;N1396_21_I1.tiff;hAC;hotspot
014.tiff;N1396_21_I1_HE - 2022-07-15 09.tiff;hAC;hotspot
015.tiff;N145_20_2.tiff;hAC;hotspot
016.tiff;N1497_21_II2_HE - 2022-07-15 09.tiff;hAC;hotspot
017.tiff;N1719_21_2_HE - 2022-07-15 09.tiff;hAC;hotspot
018.tiff;N180_20_I3.tiff;hAC;hotspot
019.tiff;N71_22_HE - 2022-07-15 09.tiff;hAC;hotspot
020.tiff;N949_20.tiff;hAC;hotspot
021.tiff;1-21-36780Wien.tiff;hBlC;hotspot
022.tiff;10_TUR_LWien.tiff;hBlC;hotspot
023.tiff;117_TURWien.tiff;hBlC;hotspot
024.tiff;1_Prim_2Wien.tiff;hBlC;hotspot
025.tiff;260_TUR_2Wien.tiff;hBlC;hotspot
026.tiff;35_UTULWien.tiff;hBlC;hotspot
027.tiff;39_PER3Wien.tiff;hBlC;hotspot
028.tiff;4_OTHBWien.tiff;hBlC;hotspot
029.tiff;5_PUL2Wien.tiff;hBlC;hotspot
030.tiff;70_A_PRIMWien.tiff;hBlC;hotspot
031.tiff;F6153_21.tiff;cMC;hotspot
032.tiff;F6228_21.tiff;cMC;hotspot
033.tiff;K5859_21.tiff;cMC;hotspot
034.tiff;MC_A6078_13.tiff;cMC;hotspot
035.tiff;R6008_21.tiff;cMC;hotspot
036.tiff;T5736_21.tiff;cMC;hotspot
037.tiff;T6311_21.tiff;cMC;hotspot
038.tiff;MC_G7604_13.tiff;cMC;hotspot
039.tiff;MC_R5026_16.tiff;cMC;hotspot
040.tiff;MC_R6888_13.tiff;cMC;hotspot
041.tiff;E1586_09_A.tiff;ccMCT;hotspot
042.tiff;E2092_08_A.tiff;ccMCT;hotspot
043.tiff;E2372_09_C.tiff;ccMCT;hotspot
044.tiff;E2485_08_B.tiff;ccMCT;hotspot
045.tiff;E2587_08_A.tiff;ccMCT;hotspot
046.tiff;E2980_09_C.tiff;ccMCT;hotspot
047.tiff;E3038_09.tiff;ccMCT;hotspot
048.tiff;E3537_08A.tiff;ccMCT;hotspot
049.tiff;E507_08_B.tiff;ccMCT;hotspot
050.tiff;E845_08_D.tiff;ccMCT;hotspot
051.tiff;N1920_20_1_HE.tif;hMen;hotspot
052.tiff;N380_21_I2_HE.tif;hMen;hotspot
053.tiff;N474_20_1_HE.tif;hMen;hotspot
054.tiff;N533_21_Z_HE.tif;hMen;hotspot
055.tiff;N546_21_III_HE.tif;hMen;hotspot
056.tiff;N556_21_2_HE.tif;hMen;hotspot
057.tiff;N632_21_Z_HE.tif;hMen;hotspot
058.tiff;N644_21_II2_HE.tif;hMen;hotspot
059.tiff;N704_21_2_HE.tif;hMen;hotspot
060.tiff;N711_21_Z_HE.tif;hMen;hotspot
061.tiff;WF22-002 Colon UMCUtrecht - 2022-06-10 16.tiff;hCoC;hotspot
062.tiff;WF22-003 Colon UMCUtrecht - 2022-06-10 16.tiff;hCoC;hotspot
063.tiff;WF22-004 Colon UMCUtrecht - 2022-06-10 16.tiff;hCoC;hotspot
064.tiff;WF22-006 Colon UMCUtrecht.tiff;hCoC;hotspot
065.tiff;WF22-007 Colon UMCUtrecht - 2022-06-10 16.tiff;hCoC;hotspot
066.tiff;WF22-008 Colon UMCUtrecht - 2022-06-10 16.tiff;hCoC;hotspot
067.tiff;WF22-009 Colon UMCUtrecht - 2022-06-10 16.tiff;hCoC;hotspot
068.tiff;WF22-010 Colon UMCUtrecht - 2022-06-10 16.tiff;hCoC;hotspot
069.tiff;WF22-013 Colon UMCUtrecht - 2022-06-10 17.tiff;hCoC;hotspot
070.tiff;WF22-014 Colon UMCUtrecht - 2022-06-10 17.tiff;hCoC;hotspot
071.tiff;HSA_F5019_22_A.tiff;cHAS;hotspot
072.tiff;HSA_F5881_22.tiff;cHAS;hotspot
073.tiff;HSA_F6689_21.tiff;cHAS;hotspot
074.tiff;HSA_K6384_21.tiff;cHAS;hotspot
075.tiff;HSA_K6600_21_1.tiff;cHAS;hotspot
076.tiff;HSA_K6944_21_2.tiff;cHAS;hotspot
077.tiff;HSA_R7275_21.tiff;cHAS;hotspot
078.tiff;HSA_T5079_22.tiff;cHAS;hotspot
079.tiff;HSA_T5428_21_1.tiff;cHAS;hotspot
080.tiff;HSA_V6029_20.tiff;cHAS;hotspot
081.tiff;STS_A7057_20.tiff;fSTS;hotspot
082.tiff;STS_G6306_17.tiff;fSTS;hotspot
083.tiff;STS_K5066_21_1.tiff;fSTS;hotspot
084.tiff;STS_R5402_22_A.tiff;fSTS;hotspot
085.tiff;STS_R7115_21.tiff;fSTS;hotspot
086.tiff;STS_S6767_18.tiff;fSTS;hotspot
087.tiff;STS_T6760_21.tiff;fSTS;hotspot
088.tiff;STS_T6894_21_1.tiff;fSTS;hotspot
089.tiff;STS_T7183_21.tiff;fSTS;hotspot
090.tiff;STS_V5550_21.tiff;fSTS;hotspot
091.tiff;A5302_17_2_HE_batch1.tiff;fLym;hotspot
092.tiff;A5920_16_HE_batch1.tiff;fLym;hotspot
093.tiff;A6275_19_2_batch1.tiff;fLym;hotspot
094.tiff;A6726_17_HE_batch1.tiff;fLym;hotspot
095.tiff;A7272_17_HE_batch1.tiff;fLym;hotspot
096.tiff;A7289_19_HE_batch1.tiff;fLym;hotspot
097.tiff;A7319_19_3_HE_batch1.tiff;fLym;hotspot
098.tiff;A7349_17_pHH3_HE_batch1.tiff;fLym;hotspot
099.tiff;A7523_19_1_HE_batch1.tiff;fLym;hotspot
100.tiff;F6242_21_Lymphom_HE_batch1.tiff;fLym;hotspot
101.tiff;17136_22_Aa_HE_20241111_2x387221_y146831_z0_w13466_h10094.tiff;hGBM;hotspot
102.tiff;15254_22_B3_HE_20241107_1x391624_y189094_z0_w13466_h10094.tiff;hGBM;hotspot
103.tiff;243_24_A3_HE_20241107_1x73520_y279230_z0_w13466_h10094.tiff;hGBM;hotspot
104.tiff;18688_22_A1_HE_20250115_1_x439531_y135853_z0_w13466_h10094.tiff;hGBM;hotspot
105.tiff;643_24_A1_HE_20241107_1x69000_y257037_z0_w13466_h10094.tiff;hGBM;hotspot
106.tiff;2142_24_A2_HE_20241104_2x438091_y220859_z0_w13466_h10094.tiff;hGBM;hotspot
