Title of the paper I'm reviewing,Challenge track,Technical Clarity: The approach and the training are clearly described.,Innovation: The approach is novel or adds an innovative twist to an existing method.,"Formal: The paper is written well, clearly structured and easy to understand.","Were external (i.e., not provided by us) datasets used?",Were the external datasets available publicly before July 19th?,Recommendation,Sum Score,Average Score,Decision
Teacher-Student Model for Detecting and Classifying Mitosis in the MIDOG 2025 Challenge,Both,5.0,5.0,5.0,yes,Yes,Excellent - I would fight to have this paper on the workshop,15.0,13.5,Accept
Teacher-Student Model for Detecting and Classifying Mitosis in the MIDOG 2025 Challenge,Both,4.0,4.0,4.0,yes,Yes,Interesting for the workshop,12.0,,
Automated Classification of Normal and Atypical Mitotic Figures Using ConvNeXt V2: MIDOG 2025 Track 2,Track 2 (Atypical Classification),5.0,3.0,5.0,no,,Interesting for the workshop,13.0,13,Accept
Automated Classification of Normal and Atypical Mitotic Figures Using ConvNeXt V2: MIDOG 2025 Track 2,Track 2 (Atypical Classification),5.0,4.0,4.0,no,,Interesting for the workshop,13.0,,
A bag of tricks for real-time Mitotic Figure detection,Track 1 (Mitosis Detection),5.0,5.0,5.0,yes,Yes,Excellent - I would fight to have this paper on the workshop,15.0,14.5,Accept
A bag of tricks for real-time Mitotic Figure detection,Track 1 (Mitosis Detection),5.0,4.0,5.0,yes,Yes,Interesting for the workshop,14.0,,
"Mix, Align, Distil: Reliable Cross-Domain Atypical Mitosis Classification",Track 2 (Atypical Classification),5.0,4.0,5.0,yes,Yes,Excellent - I would fight to have this paper on the workshop,14.0,12,Accept
"Mix, Align, Distil: Reliable Cross-Domain Atypical Mitosis Classification",Track 2 (Atypical Classification),3.0,3.0,4.0,yes,Yes,Borderline,10.0,,
Classifying Mitotic Figures in the MIDOG25 Challenge with Deep Ensemble Learning and Rule Based Refinement,Track 2 (Atypical Classification),5.0,5.0,5.0,no,,Interesting for the workshop,15.0,15,Accept
Classifying Mitotic Figures in the MIDOG25 Challenge with Deep Ensemble Learning and Rule Based Refinement,Track 2 (Atypical Classification),5.0,5.0,5.0,no,,Excellent - I would fight to have this paper on the workshop,15.0,,
Mitosis detection in domain shift scenarios: a Mamba-based approach,Track 1 (Mitosis Detection),5.0,3.0,5.0,no,,Borderline,13.0,11.5,Accept
Mitosis detection in domain shift scenarios: a Mamba-based approach,Track 1 (Mitosis Detection),4.0,3.0,3.0,no,,Interesting for the workshop,10.0,,
A multi-task neural network for atypical mitosis recognition under domain shift,Track 2 (Atypical Classification),4.0,4.0,4.0,no,,Interesting for the workshop,12.0,12.5,Accept
A multi-task neural network for atypical mitosis recognition under domain shift,Track 2 (Atypical Classification),5.0,3.0,5.0,no,,Interesting for the workshop,13.0,,
A Two-Stage Strategy for Mitosis Detection Using Improved YOLO11x Proposals and ConvNeXt Classification,Track 1 (Mitosis Detection),5.0,3.0,5.0,no,,Interesting for the workshop,13.0,13.5,Accept
A Two-Stage Strategy for Mitosis Detection Using Improved YOLO11x Proposals and ConvNeXt Classification,Track 1 (Mitosis Detection),5.0,4.0,5.0,no,,Interesting for the workshop,14.0,,
Dual-Fusion Double-Ensemble (DFDE) Framework for Atypical Mitosis Classification,Track 2 (Atypical Classification),4.0,5.0,3.0,no,,Interesting for the workshop,12.0,13.5,Accept
Dual-Fusion Double-Ensemble (DFDE) Framework for Atypical Mitosis Classification,Track 2 (Atypical Classification),5.0,5.0,5.0,no,,Interesting for the workshop,15.0,,
MIDOG 2025: Mitotic Figure Detection with Attention-Guided False Positive Correction,Track 1 (Mitosis Detection),2.0,4.0,4.0,no,,Borderline,10.0,9.666666667,Accept
MIDOG 2025: Mitotic Figure Detection with Attention-Guided False Positive Correction,Track 1 (Mitosis Detection),4.0,4.0,4.0,no,,Interesting for the workshop,12.0,,
