slide,Tumor,roi_type,mf_count,total_count
001.tiff,hMel,hotspot,5,45
002.tiff,hMel,hotspot,21,63
003.tiff,hMel,hotspot,42,102
004.tiff,hMel,hotspot,1,55
005.tiff,hMel,hotspot,13,54
006.tiff,hMel,hotspot,4,74
007.tiff,hMel,hotspot,7,146
008.tiff,hMel,hotspot,7,173
009.tiff,hMel,hotspot,40,158
010.tiff,hMel,hotspot,69,182
011.tiff,hAC,hotspot,4,278
012.tiff,hAC,hotspot,4,440
013.tiff,hAC,hotspot,4,35
014.tiff,hAC,hotspot,7,19
015.tiff,hAC,hotspot,5,49
016.tiff,hAC,hotspot,0,50
017.tiff,hAC,hotspot,0,39
018.tiff,hAC,hotspot,0,66
019.tiff,hAC,hotspot,9,25
020.tiff,hAC,hotspot,4,161
021.tiff,hBlC,hotspot,58,322
022.tiff,hBlC,hotspot,53,171
023.tiff,hBlC,hotspot,30,139
024.tiff,hBlC,hotspot,62,113
025.tiff,hBlC,hotspot,20,63
026.tiff,hBlC,hotspot,4,54
027.tiff,hBlC,hotspot,41,79
028.tiff,hBlC,hotspot,54,156
029.tiff,hBlC,hotspot,85,163
030.tiff,hBlC,hotspot,64,169
031.tiff,cMC,hotspot,5,41
032.tiff,cMC,hotspot,29,82
033.tiff,cMC,hotspot,7,65
034.tiff,cMC,hotspot,3,17
035.tiff,cMC,hotspot,20,67
036.tiff,cMC,hotspot,22,50
037.tiff,cMC,hotspot,12,33
038.tiff,cMC,hotspot,38,63
039.tiff,cMC,hotspot,59,96
040.tiff,cMC,hotspot,18,49
041.tiff,ccMCT,hotspot,43,77
042.tiff,ccMCT,hotspot,17,44
043.tiff,ccMCT,hotspot,6,17
044.tiff,ccMCT,hotspot,4,10
045.tiff,ccMCT,hotspot,43,91
046.tiff,ccMCT,hotspot,2,8
047.tiff,ccMCT,hotspot,20,51
048.tiff,ccMCT,hotspot,15,53
049.tiff,ccMCT,hotspot,16,42
050.tiff,ccMCT,hotspot,8,28
051.tiff,hMen,hotspot,80,199
052.tiff,hMen,hotspot,1,14
053.tiff,hMen,hotspot,29,117
054.tiff,hMen,hotspot,2,55
055.tiff,hMen,hotspot,2,44
056.tiff,hMen,hotspot,1,71
057.tiff,hMen,hotspot,26,150
058.tiff,hMen,hotspot,4,20
059.tiff,hMen,hotspot,0,19
060.tiff,hMen,hotspot,1,42
061.tiff,hCoC,hotspot,31,144
062.tiff,hCoC,hotspot,48,136
063.tiff,hCoC,hotspot,56,185
064.tiff,hCoC,hotspot,28,114
065.tiff,hCoC,hotspot,62,256
066.tiff,hCoC,hotspot,38,142
067.tiff,hCoC,hotspot,16,125
068.tiff,hCoC,hotspot,156,310
069.tiff,hCoC,hotspot,44,186
070.tiff,hCoC,hotspot,18,99
071.tiff,cHAS,hotspot,53,118
072.tiff,cHAS,hotspot,52,104
073.tiff,cHAS,hotspot,5,57
074.tiff,cHAS,hotspot,12,81
075.tiff,cHAS,hotspot,202,276
076.tiff,cHAS,hotspot,13,57
077.tiff,cHAS,hotspot,11,72
078.tiff,cHAS,hotspot,80,136
079.tiff,cHAS,hotspot,23,83
080.tiff,cHAS,hotspot,37,92
081.tiff,fSTS,hotspot,213,332
082.tiff,fSTS,hotspot,32,45
083.tiff,fSTS,hotspot,81,129
084.tiff,fSTS,hotspot,62,145
085.tiff,fSTS,hotspot,11,27
086.tiff,fSTS,hotspot,30,77
087.tiff,fSTS,hotspot,67,135
088.tiff,fSTS,hotspot,31,64
089.tiff,fSTS,hotspot,35,118
090.tiff,fSTS,hotspot,18,41
091.tiff,fLym,hotspot,67,106
092.tiff,fLym,hotspot,61,115
093.tiff,fLym,hotspot,66,120
094.tiff,fLym,hotspot,61,98
095.tiff,fLym,hotspot,105,159
096.tiff,fLym,hotspot,31,67
097.tiff,fLym,hotspot,12,24
098.tiff,fLym,hotspot,121,175
099.tiff,fLym,hotspot,30,49
100.tiff,fLym,hotspot,103,142
101.tiff,hGBM,hotspot,4,8
102.tiff,hGBM,hotspot,3,6
103.tiff,hGBM,hotspot,7,24
104.tiff,hGBM,hotspot,0,5
105.tiff,hGBM,hotspot,1,4
106.tiff,hGBM,hotspot,10,17
107.tiff,hGBM,hotspot,10,19
108.tiff,hGBM,hotspot,0,1
109.tiff,hGBM,hotspot,1,3
110.tiff,hGBM,hotspot,0,5
111.tiff,hLUAD,hotspot,17,34
112.tiff,hLUAD,hotspot,0,2
113.tiff,hLUAD,hotspot,22,62
114.tiff,hLUAD,hotspot,10,12
115.tiff,hLUAD,hotspot,18,36
116.tiff,hLUAD,hotspot,11,24
117.tiff,hLUAD,hotspot,8,12
118.tiff,hLUAD,hotspot,5,9
119.tiff,hLUAD,hotspot,33,92
120.tiff,hLUAD,hotspot,4,12
121.tiff,hLUAD,hotspot,13,32
122.tiff,hLUAD,hotspot,34,49
123.tiff,cHAS,challenging,0,2
124.tiff,cHAS,challenging,26,35
125.tiff,cHAS,challenging,0,1
126.tiff,cHAS,challenging,8,10
127.tiff,cHAS,challenging,1,2
128.tiff,cHAS,challenging,0,1
129.tiff,cHAS,challenging,0,2
130.tiff,cHAS,challenging,4,6
131.tiff,cHAS,challenging,0,1
132.tiff,cHAS,challenging,0,1
133.tiff,cHAS,random,0,1
134.tiff,cHAS,random,0,2
135.tiff,cHAS,random,0,2
136.tiff,cHAS,random,61,80
137.tiff,cHAS,random,6,12
138.tiff,cHAS,random,22,39
139.tiff,cHAS,random,9,15
140.tiff,cHAS,random,1,4
141.tiff,cHAS,random,0,1
142.tiff,cHAS,random,13,26
