Tumor_Type,Comparison,n,Cohen_kappa
cHAS,R1 vs R2,488,0.7161
cHAS,R1 vs final,488,0.9161
cHAS,R2 vs final,488,0.8097
cMC,R1 vs R2,213,0.6469
cMC,R1 vs final,213,0.8235
cMC,R2 vs final,213,0.8083
ccMCT,R1 vs R2,174,0.7663
ccMCT,R1 vs final,174,1.0
ccMCT,R2 vs final,174,0.7663
fLym,R1 vs R2,657,0.3624
fLym,R1 vs final,657,0.8724
fLym,R2 vs final,657,0.4827
fSTS,R1 vs R2,580,0.7131
fSTS,R1 vs final,580,0.9285
fSTS,R2 vs final,580,0.7821
hAC,R1 vs R2,37,0.8246
hAC,R1 vs final,37,0.9165
hAC,R2 vs final,37,0.9068
hBlC,R1 vs R2,471,0.7946
hBlC,R1 vs final,471,0.9152
hBlC,R2 vs final,471,0.8818
hCoC,R1 vs R2,497,0.5883
hCoC,R1 vs final,497,0.8448
hCoC,R2 vs final,497,0.7597
hGBM,R1 vs R2,66,0.6961
hGBM,R1 vs final,66,0.8778
hGBM,R2 vs final,66,0.8177
hLUAD,R1 vs R2,260,0.2422
hLUAD,R1 vs final,260,0.3037
hLUAD,R2 vs final,260,0.8726
hMel,R1 vs R2,209,0.6768
hMel,R1 vs final,209,0.9298
hMel,R2 vs final,209,0.7432
hMen,R1 vs R2,148,0.6506
hMen,R1 vs final,148,0.8833
hMen,R2 vs final,148,0.7721
